Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,xG,xAG,xG+xAG,npxG,npxG+xAG,Team
Gustavo Hamer,nl NED,MF,26.0,36,34,2910.0,4.0,6.0,3.0,6.1,0.28,3.0,9.1,Sheffield-United
Jayden Bogle,eng ENG,DF,23.0,34,32,2788.0,3.0,0.0,2.3,1.0,0.11,2.3,3.3,Sheffield-United
Jack Robinson,eng ENG,DF,29.0,34,31,2885.0,1.0,1.0,1.2,1.2,0.08,1.2,2.4,Sheffield-United
Vinicius Souza,br BRA,MF,24.0,36,29,2668.0,1.0,0.0,0.6,0.2,0.03,0.6,0.8,Sheffield-United
Anel Ahmedhodžić,ba BIH,DF,24.0,31,29,2649.0,2.0,0.0,3.1,0.8,0.14,3.1,4.0,Sheffield-United
Wes Foderingham,eng ENG,GK,32.0,30,29,2649.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,Sheffield-United
Auston Trusty,us USA,DF,24.0,32,28,2572.0,0.0,0.0,0.4,1.1,0.05,0.4,1.5,Sheffield-United
Cameron Archer,eng ENG,"FW,MF",22.0,29,21,1832.0,4.0,1.0,5.5,2.8,0.41,5.5,8.3,Sheffield-United
James Mcatee,eng ENG,"MF,FW",20.0,30,20,1822.0,3.0,3.0,3.1,2.9,0.3,2.3,5.2,Sheffield-United
Oliver Norwood,nir NIR,MF,32.0,27,16,1440.0,1.0,0.0,1.1,0.6,0.11,0.3,0.9,Sheffield-United
Oliver McBurnie,sct SCO,FW,27.0,21,15,1280.0,6.0,3.0,6.9,2.0,0.62,5.3,7.3,Sheffield-United
Ben Osborn,eng ENG,"DF,MF",28.0,24,14,1367.0,0.0,2.0,0.2,0.9,0.07,0.2,1.1,Sheffield-United
Ben Brereton,cl CHI,"FW,MF",24.0,14,14,1105.0,6.0,1.0,6.1,1.5,0.61,5.3,6.7,Sheffield-United
Andre Brooks,eng ENG,"MF,DF",19.0,20,12,938.0,0.0,0.0,0.4,0.1,0.05,0.4,0.5,Sheffield-United
George Baldock,gr GRE,DF,30.0,13,11,969.0,0.0,1.0,0.0,0.8,0.08,0.0,0.8,Sheffield-United
Oliver Arblaster,eng ENG,MF,19.0,12,11,943.0,0.0,0.0,0.0,0.7,0.07,0.0,0.8,Sheffield-United
Luke Thomas,eng ENG,DF,22.0,12,11,917.0,0.0,0.0,0.5,0.1,0.06,0.5,0.6,Sheffield-United
William Osula,dk DEN,FW,19.0,21,9,786.0,0.0,0.0,1.6,0.1,0.2,1.6,1.7,Sheffield-United
Ivo Grbić,hr CRO,GK,27.0,9,9,771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheffield-United
Mason Holgate,eng ENG,DF,26.0,10,9,710.0,0.0,0.0,0.6,0.4,0.13,0.6,1.1,Sheffield-United
Yasser Larouci,dz ALG,DF,22.0,11,6,531.0,0.0,0.0,0.2,0.3,0.09,0.2,0.5,Sheffield-United
John Egan,ie IRL,DF,30.0,6,6,482.0,0.0,0.0,0.2,0.0,0.03,0.2,0.2,Sheffield-United
Max Lowe,eng ENG,"DF,MF",26.0,10,4,503.0,0.0,0.0,0.6,0.7,0.23,0.6,1.3,Sheffield-United
Anis Ben Slimane,tn TUN,MF,22.0,15,4,419.0,0.0,0.0,0.8,0.3,0.23,0.8,1.1,Sheffield-United
Bénie Adama Traore,ci CIV,"FW,MF",20.0,8,3,387.0,0.0,0.0,0.3,0.5,0.19,0.3,0.8,Sheffield-United
Rhian Brewster,eng ENG,"FW,MF",23.0,13,3,346.0,0.0,0.0,0.4,0.1,0.12,0.4,0.5,Sheffield-United
Chris Basham,eng ENG,"DF,MF",35.0,8,3,321.0,0.0,0.0,0.1,0.3,0.1,0.1,0.4,Sheffield-United
Tom Davies,eng ENG,MF,25.0,9,2,221.0,0.0,0.0,0.4,0.1,0.17,0.4,0.4,Sheffield-United
Rhys Norrington-Davies,wls WAL,DF,24.0,5,2,110.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,Sheffield-United
John Fleck,sct SCO,"MF,DF",31.0,4,1,92.0,0.0,0.0,0.0,0.4,0.44,0.0,0.4,Sheffield-United
Sam Curtis,ie IRL,DF,17.0,1,0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheffield-United
Daniel Jebbison,eng ENG,FW,19.0,1,0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheffield-United
Antwoine Hackford,eng ENG,FW,19.0,2,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheffield-United
Sydie Peck,eng ENG,MF,18.0,1,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheffield-United
Ryan One,sct SCO,FW,17.0,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheffield-United
Jordan Amissah,gh GHA,GK,21.0,0,0,,,,,,,,,Sheffield-United
Billy Blacker,eng ENG,FW,17.0,0,0,,,,,,,,,Sheffield-United
Jili Buyabu,eng ENG,MF,21.0,0,0,,,,,,,,,Sheffield-United
Ismaila Cheick Coulibaly,ml MLI,MF,22.0,0,0,,,,,,,,,Sheffield-United
Adam Davies,wls WAL,GK,31.0,0,0,,,,,,,,,Sheffield-United
Owen Hampson,eng ENG,MF,18.0,0,0,,,,,,,,,Sheffield-United
Louie Marsh,eng ENG,FW,19.0,0,0,,,,,,,,,Sheffield-United
Dovydas Sasnauskas,,DF,,0,0,,,,,,,,,Sheffield-United
Femi Seriki,eng ENG,DF,21.0,0,0,,,,,,,,,Sheffield-United
